appellation,pente,altitude,exposition,nb_parcelles
Sauternes,1.635821398483572,35.24347093513058,188.9394608256108,1187
Savigny-lès-Beaune,5.394702030124426,304.1041257367387,160.6241781270465,3054
Taureau de Camargue,0.47562263840972563,6.658945293247905,138.8990570067357,12174
Terrasses du Larzac,2.778033749766921,82.1583069177699,178.22743427186276,10726
Touraine,1.8491855579868708,91.53956236323852,183.8309374179431,22850
Tursan,3.5635641986879105,113.9477038425492,171.24530459231488,10670
Valençay,1.400531660692951,101.41278375149344,168.9231302270012,1674
Ventoux,4.427488621882396,268.5791916985254,206.83752639723284,21972
Vin de Corse ou Corse,6.483539308963445,103.48943415122685,189.1798878317476,9985
Vin de Savoie ou Savoie,6.833651459691098,465.6275332559593,190.80668958128737,11201
