code_dept,nom_dept,nb_declarations,surf_totale,surf_aop,surf_cognac,surf_igp,surf_vsig,aop_blanc,aop_rouge,aop_rose,aop_vsi,igp_blanc,igp_rouge,igp_rose,vsig_blanc,vsig_rouge,vsig_rose,prod_cognac,total_commercialisable,autre_prod,total_prod,total_blanc,total_rouge,total_rose
63,PUY-DE-DOME,122.0,444.4461999999999,256.5519999999999,0.0,102.98899999999998,84.9052,1137.81,4189.6,928.62,0.0,365.79,1473.27,90.65,386.06,1200.03,114.13,0.0,9885.96,113.89000000000124,9999.85,1889.6599999999999,6862.900000000001,1133.4
64,PYRENEES-ATLANTIQUES,438.0,2538.877700000003,2305.306200000003,0.0,104.73759999999996,128.83390000000003,44254.99000000002,22658.700000000008,4863.460000000001,0.0,614.42,3334.47,293.42,1246.6999999999998,977.27,390.29,0.0,78633.72000000003,656.1000000000349,79289.82000000007,46116.110000000015,26970.44000000001,5547.170000000001
65,HAUTES-PYRENEES,32.0,212.8979,147.9132,0.0,52.4335,12.5512,936.39,4120.539999999999,391.75,0.0,638.7299999999999,1310.14,618.49,78.39999999999998,165.9,7.0,0.0,8267.339999999998,152.4900000000016,8419.83,1653.52,5596.579999999999,1017.24
66,PYRENEES-ORIENTALES,1849.0,17699.409000000018,10703.245900000016,0.0,5890.243300000004,1105.9198,51200.75000000001,77043.48999999996,46573.08999999997,0.0,46400.52,46748.87999999998,37812.77999999999,6399.710000000002,7472.569999999999,1093.54,0.0,320745.3299999999,7664.829999999724,328410.1599999996,104000.98000000001,131264.93999999994,85479.40999999996
67,BAS-RHIN,1268.0,6667.043199999995,6596.472199999995,0.0,0.0,70.571,349397.9200000006,3994.49,35304.51999999993,2678.77,0.0,0.0,0.0,2599.18,336.1,95.85,0.0,394406.8300000005,5485.559999999765,399892.39000000025,351997.1000000006,4330.59,35400.36999999993
68,HAUT-RHIN,1692.0,8894.80850000005,8820.53140000005,0.0,0.0,74.27710000000003,474371.72,8077.340000000003,44297.42999999999,11958.689999999988,0.0,0.0,0.0,2910.73,348.91,226.58,0.0,542191.3999999999,4230.810000000987,546422.2100000009,477282.44999999995,8426.250000000004,44524.009999999995
69,RHONE,1893.0,14624.422899999996,13999.120199999998,0.0,155.3494,469.9532999999997,138640.52999999997,435885.279999999,11819.020000000006,78.88999999999999,1708.05,2477.3299999999995,167.0,3212.150000000001,6122.19,2706.34,0.0,602816.7799999989,36578.0800000031,639394.860000002,143560.72999999995,444484.799999999,14692.360000000006
70,HAUTE-SAONE,9.0,82.4153,0.0,0.0,67.8106,14.6047,0.0,0.0,0.0,0.0,685.4,504.0,116.0,61.53,152.95999999999998,14.0,0.0,1533.89,18.299999999999955,1552.19,746.93,656.96,130.0
71,SAONE-ET-LOIRE,1613.0,13332.233200000028,13130.129900000027,0.0,23.976500000000005,178.12679999999986,442134.4500000017,139589.5299999996,1226.7500000000002,4230.230000000004,237.11000000000004,180.28,58.3,9207.660000000003,687.5,630.61,0.0,598182.4200000013,14675.210000000778,612857.6300000021,451579.2200000017,140457.3099999996,1915.6600000000003
72,SARTHE,42.0,220.58600000000004,144.7081,0.0,19.100700000000003,56.777200000000015,2525.86,634.5600000000001,278.52,0.0,163.5,119.19,53.4,472.79,199.82,161.31,0.0,4608.95,133.8800000000001,4742.83,3162.15,953.5699999999999,493.22999999999996
